table_name,field_name,source_name,record_key,reason
core_performance_indicators_sheet,eps,600671_20251029_AR92.pdf,600671|2025Q3|2025,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600080_20230428_MMWM.pdf;600080_20230428_FQ2V.pdf,600080|2022FY|2022,likely_not_disclosed_in_source
core_performance_indicators_sheet,operating_revenue_qoq_growth,600080_20230428_PCK7.pdf,600080|2023Q1|2023,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600085_20230328_GGS9.pdf;600085_20230328_KEHR.pdf,600085|2022FY|2022,likely_not_disclosed_in_source
core_performance_indicators_sheet,operating_revenue_qoq_growth,600085_20230429_VQ9H.pdf,600085|2023Q1|2023,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600129_20230331_BTSP.pdf;600129_20230331_LJR3.pdf,600129|2022FY|2022,likely_not_disclosed_in_source
core_performance_indicators_sheet,operating_revenue_qoq_growth,600129_20230428_CBJZ.pdf,600129|2023Q1|2023,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600222_20230407_6IHZ.pdf;600222_20230407_OACL.pdf,600222|2022FY|2022,likely_not_disclosed_in_source
core_performance_indicators_sheet,operating_revenue_qoq_growth,600222_20230429_B5XY.pdf,600222|2023Q1|2023,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600252_20230329_84OV.pdf;600252_20230329_OFKW.pdf,600252|2022FY|2022,likely_not_disclosed_in_source
core_performance_indicators_sheet,operating_revenue_qoq_growth,600252_20230428_VZDI.pdf,600252|2023Q1|2023,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600285_20230426_0A88.pdf,600285|2023Q1|2023,likely_extraction_gap
core_performance_indicators_sheet,operating_revenue_qoq_growth,600285_20230426_DWDG.pdf;600285_20230426_FY7P.pdf,600285|2022FY|2022,likely_not_disclosed_in_source
